Season,Player,Date,Home/Away,Opp,Win/Loss,FG%,FT,FTA,FT%,TS%,eFG%,DRtg,,
2019-20,Aaron Gordon,10/23/19,Home,CLE,W,0.25,4,6,0.667,0.423,0.313,86,,
2019-20,Aaron Gordon,10/26/19,Away,ATL,L,0.4,2,2,1,0.46,0.4,104,,
2019-20,Aaron Gordon,10/28/19,Away,TOR,L,0.167,0,0,,0.167,0.167,101,,
2019-20,Aaron Gordon,10/30/19,Home,NYK,W,0.462,0,0,,0.577,0.577,88,,
2019-20,Aaron Gordon,11/1/19,Home,MIL,L,0.3,3,5,0.6,0.451,0.4,127,,
2019-20,Aaron Gordon,11/2/19,Home,DEN,L,0.6,2,5,0.4,0.61,0.633,102,,
2019-20,Aaron Gordon,11/5/19,Away,OKC,L,0.462,3,4,0.75,0.508,0.462,115,,
2019-20,Aaron Gordon,11/6/19,Away,DAL,L,0.588,2,2,1,0.643,0.618,115,,
2019-20,Aaron Gordon,11/8/19,Home,MEM,W,0.636,3,3,1,0.69,0.636,90,,
2019-20,Aaron Gordon,11/10/19,Home,IND,L,0.5,1,1,1,0.623,0.6,125,,
2019-20,Aaron Gordon,11/13/19,Home,PHI,W,0.333,7,9,0.778,0.564,0.458,90,,
2019-20,Aaron Gordon,11/15/19,Home,SAS,W,0.267,5,8,0.625,0.378,0.3,117,,
2019-20,Aaron Gordon,11/17/19,Home,WAS,W,0.313,2,2,1,0.385,0.344,123,,
2019-20,Aaron Gordon,11/20/19,Away,TOR,L,0.333,0,0,,0.333,0.333,125,,
2019-20,Aaron Gordon,11/23/19,Away,IND,L,,,,,,,,,
2019-20,Aaron Gordon,11/25/19,Away,DET,L,,,,,,,,,
2019-20,Aaron Gordon,11/27/19,Away,CLE,W,,,,,,,,,
2019-20,Aaron Gordon,11/29/19,Home,TOR,L,0.182,3,4,0.75,0.313,0.227,91,,
2019-20,Aaron Gordon,12/1/19,Home,GSW,W,0.182,3,4,0.75,0.313,0.227,106,,
2019-20,Aaron Gordon,12/3/19,Away,WAS,W,0.467,2,4,0.5,0.537,0.533,117,,
2019-20,Aaron Gordon,12/4/19,Home,PHO,W,0.867,1,2,0.5,1.008,1.033,118,,
2019-20,Aaron Gordon,12/6/19,Away,CLE,W,0.462,2,2,1,0.504,0.462,95,,
2019-20,Aaron Gordon,12/9/19,Away,MIL,L,0.25,3,4,0.75,0.363,0.292,108,,
2019-20,Aaron Gordon,12/11/19,Home,LAL,L,0.455,3,4,0.75,0.549,0.5,99,,
2019-20,Aaron Gordon,12/13/19,Home,HOU,L,0.6,1,1,1,0.68,0.667,149,,
2019-20,Aaron Gordon,12/15/19,Away,NOP,W,0.231,2,4,0.5,0.305,0.269,122,,
2019-20,Aaron Gordon,12/17/19,Away,UTA,L,0.333,0,0,,0.333,0.333,114,,
2019-20,Aaron Gordon,12/18/19,Away,DEN,L,0.286,0,1,0,0.312,0.321,115,,
2019-20,Aaron Gordon,12/20/19,Away,POR,L,0.235,3,4,0.75,0.293,0.235,121,,
2019-20,Aaron Gordon,12/23/19,Home,CHI,W,0.429,3,6,0.5,0.481,0.464,93,,
2019-20,Aaron Gordon,12/27/19,Home,PHI,W,0.438,4,4,1,0.535,0.469,95,,
2019-20,Aaron Gordon,12/28/19,Away,MIL,L,0.222,0,0,,0.278,0.278,116,,
2019-20,Aaron Gordon,12/30/19,Home,ATL,L,,,,,,,,,
2019-20,Aaron Gordon,1/1/20,Away,WAS,W,,,,,,,,,
2019-20,Aaron Gordon,1/3/20,Home,MIA,W,0.5,1,2,0.5,0.538,0.536,92,,
2019-20,Aaron Gordon,1/4/20,Home,UTA,L,0.364,2,2,1,0.463,0.409,110,,
2019-20,Aaron Gordon,1/6/20,Home,BRK,W,0.5,1,3,0.333,0.486,0.5,82,,
2019-20,Aaron Gordon,1/8/20,Home,WAS,W,0.444,2,2,1,0.506,0.444,88,,
2019-20,Aaron Gordon,1/10/20,Away,PHO,L,,,,,,,,,
2019-20,Aaron Gordon,1/13/20,Away,SAC,W,0.5,2,4,0.5,0.535,0.531,114,,
2019-20,Aaron Gordon,1/15/20,Away,LAL,W,0.583,6,8,0.75,0.677,0.625,113,,
2019-20,Aaron Gordon,1/16/20,Away,LAC,L,0.727,0,0,,0.909,0.909,128,,
2019-20,Aaron Gordon,1/18/20,Away,GSW,L,0.4,2,4,0.5,0.468,0.45,114,,
2019-20,Aaron Gordon,1/20/20,Away,CHO,W,0.333,0,0,,0.333,0.333,95,,
2019-20,Aaron Gordon,1/22/20,Home,OKC,L,0.462,0,2,0,0.504,0.538,122,,
2019-20,Aaron Gordon,1/24/20,Home,BOS,L,0.364,4,6,0.667,0.44,0.364,118,,
2019-20,Aaron Gordon,1/26/20,Home,LAC,L,0.25,3,7,0.429,0.332,0.292,119,,
2019-20,Aaron Gordon,1/27/20,Away,MIA,L,0.4,0,0,,0.433,0.433,128,,
2019-20,Aaron Gordon,2/1/20,Home,MIA,L,0.45,2,3,0.667,0.563,0.55,110,,
2019-20,Aaron Gordon,2/3/20,Away,CHO,W,0.5,2,6,0.333,0.546,0.583,105,,
2019-20,Aaron Gordon,2/5/20,Away,BOS,L,0.467,8,10,0.8,0.593,0.5,115,,
2019-20,Aaron Gordon,2/6/20,Away,NYK,L,0.5,0,2,0,0.538,0.571,109,,
2019-20,Aaron Gordon,2/8/20,Home,MIL,L,0.167,3,4,0.75,0.254,0.167,109,,
2019-20,Aaron Gordon,2/10/20,Home,ATL,W,0.5,4,4,1,0.597,0.55,130,,
2019-20,Aaron Gordon,2/12/20,Home,DET,W,0.533,6,6,1,0.709,0.633,110,,
2019-20,Aaron Gordon,2/21/20,Home,DAL,L,0.308,2,4,0.5,0.339,0.308,115,,
2019-20,Aaron Gordon,2/24/20,Away,BRK,W,0.688,2,2,1,0.8,0.781,115,,
2019-20,Aaron Gordon,2/26/20,Away,ATL,W,0.643,4,4,1,0.793,0.75,115,,
2019-20,Aaron Gordon,2/28/20,Home,MIN,W,0.462,4,5,0.8,0.559,0.5,113,,
2019-20,Aaron Gordon,2/29/20,Away,SAS,L,0.4,3,8,0.375,0.411,0.4,115,,
2019-20,Aaron Gordon,3/2/20,Home,POR,L,,,,,,,,,
2019-20,Aaron Gordon,3/4/20,Away,MIA,L,0.5,1,1,1,0.527,0.5,123,,
2019-20,Aaron Gordon,3/6/20,Away,MIN,W,0.4,3,6,0.5,0.425,0.4,114,,
2019-20,Aaron Gordon,3/8/20,Away,HOU,W,0.412,4,5,0.8,0.495,0.441,98,,
2019-20,Aaron Gordon,3/10/20,Away,MEM,W,0.375,2,2,1,0.45,0.375,110,,
2019-20,Aaron Gordon,7/31/20,Away,BRK,W,0.4,6,8,0.75,0.587,0.4,112,,
2019-20,Aaron Gordon,8/2/20,Home,SAC,W,0.667,3,3,1,0.826,0.792,117,,
2019-20,Aaron Gordon,8/4/20,Away,IND,L,0.533,2,4,0.5,0.597,0.6,123,,
2019-20,Aaron Gordon,8/5/20,Home,TOR,L,0.333,3,6,0.5,0.387,0.333,97,,
2019-20,Aaron Gordon,8/7/20,Away,PHI,L,,,,,,,,,
2019-20,Aaron Gordon,8/9/20,Away,BOS,L,,,,,,,,,
2019-20,Aaron Gordon,8/11/20,Home,BRK,L,,,,,,,,,
2019-20,Aaron Gordon,8/13/20,Home,NOP,W,,,,,,,,,
2018-19,Aaron Gordon,10/17/18,Home,MIA,W,0.5,4,6,0.667,0.63,0.611,97,,
2018-19,Aaron Gordon,10/19/18,Home,CHO,L,0.222,1,1,1,0.265,0.222,106,,
2018-19,Aaron Gordon,10/20/18,Away,PHI,L,0.583,6,9,0.667,0.627,0.583,114,,
2018-19,Aaron Gordon,10/22/18,Away,BOS,W,0.455,1,2,0.5,0.547,0.545,100,,
2018-19,Aaron Gordon,10/25/18,Home,POR,L,0.545,3,6,0.5,0.623,0.636,136,,
2018-19,Aaron Gordon,10/27/18,Away,MIL,L,0.2,3,4,0.75,0.268,0.2,110,,
2018-19,Aaron Gordon,10/30/18,Home,SAC,L,0.467,2,4,0.5,0.537,0.533,100,,
2018-19,Aaron Gordon,11/2/18,Home,LAC,L,0.4,0,0,,0.4,0.4,120,,
2018-19,Aaron Gordon,11/4/18,Away,SAS,W,0.55,0,0,,0.65,0.65,117,,
2018-19,Aaron Gordon,11/5/18,Home,CLE,W,0.6,2,2,1,0.724,0.7,111,,
2018-19,Aaron Gordon,11/7/18,Home,DET,L,0.467,0,0,,0.5,0.5,91,,
2018-19,Aaron Gordon,11/9/18,Home,WAS,W,0.429,5,6,0.833,0.601,0.536,115,,
2018-19,Aaron Gordon,11/11/18,Away,NYK,W,,,,,,,,,
2018-19,Aaron Gordon,11/12/18,Away,WAS,L,0.615,2,2,1,0.648,0.615,115,,
2018-19,Aaron Gordon,11/14/18,Home,PHI,W,0.538,2,3,0.667,0.594,0.577,108,,
2018-19,Aaron Gordon,11/17/18,Home,LAL,W,0.385,1,2,0.5,0.432,0.423,111,,
2018-19,Aaron Gordon,11/18/18,Home,NYK,W,0.765,1,2,0.5,0.867,0.882,123,,
2018-19,Aaron Gordon,11/20/18,Home,TOR,L,0.333,4,5,0.8,0.465,0.4,90,,
2018-19,Aaron Gordon,11/23/18,Away,DEN,L,0.455,3,4,0.75,0.549,0.5,112,,
2018-19,Aaron Gordon,11/25/18,Away,LAL,W,0.571,0,0,,0.607,0.607,104,,
2018-19,Aaron Gordon,11/26/18,Away,GSW,L,0,0,0,,0,0,115,,
2018-19,Aaron Gordon,11/28/18,Away,POR,L,,,,,,,,,
2018-19,Aaron Gordon,11/30/18,Away,PHO,W,0.667,1,1,1,0.723,0.708,95,,
2018-19,Aaron Gordon,12/4/18,Away,MIA,W,0.438,3,4,0.75,0.563,0.531,91,,
2018-19,Aaron Gordon,12/5/18,Home,DEN,L,0.421,0,0,,0.5,0.5,120,,
2018-19,Aaron Gordon,12/7/18,Home,IND,L,0.444,1,3,0.333,0.518,0.528,109,,
2018-19,Aaron Gordon,12/10/18,Away,DAL,L,0.267,0,0,,0.333,0.333,113,,
2018-19,Aaron Gordon,12/13/18,Home,CHI,W,0.182,3,4,0.75,0.313,0.227,102,,
2018-19,Aaron Gordon,12/15/18,Home,UTA,W,0.429,0,0,,0.571,0.571,98,,
2018-19,Aaron Gordon,12/19/18,Home,SAS,L,0.4,2,4,0.5,0.51,0.5,141,,
2018-19,Aaron Gordon,12/21/18,Away,CHI,L,0.235,6,10,0.6,0.327,0.235,106,,
2018-19,Aaron Gordon,12/23/18,Home,MIA,L,0.571,4,4,1,0.799,0.714,123,,
2018-19,Aaron Gordon,12/26/18,Home,PHO,L,0.5,0,0,,0.55,0.55,111,,
2018-19,Aaron Gordon,12/28/18,Home,TOR,W,0.5,2,2,1,0.654,0.583,88,,
2018-19,Aaron Gordon,12/30/18,Home,DET,W,0.533,5,7,0.714,0.608,0.567,111,,
2018-19,Aaron Gordon,12/31/18,Away,CHO,L,0.353,0,0,,0.412,0.412,131,,
2018-19,Aaron Gordon,1/2/19,Away,CHI,W,0.571,2,3,0.667,0.587,0.571,93,,
2018-19,Aaron Gordon,1/4/19,Away,MIN,L,0.5,2,4,0.5,0.512,0.5,120,,
2018-19,Aaron Gordon,1/6/19,Away,LAC,L,0.294,5,8,0.625,0.414,0.353,110,,
2018-19,Aaron Gordon,1/7/19,Away,SAC,L,0.231,3,4,0.75,0.339,0.269,106,,
2018-19,Aaron Gordon,1/9/19,Away,UTA,L,0.412,2,3,0.667,0.491,0.471,113,,
2018-19,Aaron Gordon,1/12/19,Home,BOS,W,0.5,13,13,1,0.71,0.536,103,,
2018-19,Aaron Gordon,1/13/19,Home,HOU,W,0.533,4,4,1,0.656,0.6,111,,
2018-19,Aaron Gordon,1/16/19,Away,DET,L,0.455,2,2,1,0.505,0.455,121,,
2018-19,Aaron Gordon,1/18/19,Home,BRK,L,0.692,2,2,1,0.829,0.808,122,,
2018-19,Aaron Gordon,1/19/19,Home,MIL,L,,,,,,,,,
2018-19,Aaron Gordon,1/21/19,Away,ATL,W,,,,,,,,,
2018-19,Aaron Gordon,1/23/19,Away,BRK,L,0.556,0,0,,0.556,0.556,117,,
2018-19,Aaron Gordon,1/25/19,Home,WAS,L,0.5,4,6,0.667,0.59,0.563,105,,
2018-19,Aaron Gordon,1/27/19,Away,HOU,L,0.5,2,3,0.667,0.595,0.583,112,,
2018-19,Aaron Gordon,1/29/19,Home,OKC,L,0.316,2,2,1,0.402,0.368,126,,
2018-19,Aaron Gordon,1/31/19,Home,IND,W,0.444,2,4,0.5,0.465,0.444,107,,
2018-19,Aaron Gordon,2/2/19,Home,BRK,W,0.353,0,0,,0.441,0.441,91,,
2018-19,Aaron Gordon,2/5/19,Away,OKC,L,0.545,5,9,0.556,0.602,0.591,113,,
2018-19,Aaron Gordon,2/7/19,Home,MIN,W,0.385,8,8,1,0.575,0.423,119,,
2018-19,Aaron Gordon,2/9/19,Away,MIL,W,0.4,2,3,0.667,0.429,0.4,86,,
2018-19,Aaron Gordon,2/10/19,Away,ATL,W,0.444,2,4,0.5,0.558,0.556,115,,
2018-19,Aaron Gordon,2/12/19,Away,NOP,W,0.6,6,6,1,0.791,0.7,90,,
2018-19,Aaron Gordon,2/14/19,Home,CHO,W,0.235,1,1,1,0.287,0.265,89,,
2018-19,Aaron Gordon,2/22/19,Home,CHI,L,0.5,1,4,0.25,0.539,0.571,110,,
2018-19,Aaron Gordon,2/24/19,Away,TOR,W,0.182,3,4,0.75,0.274,0.182,102,,
2018-19,Aaron Gordon,2/26/19,Away,NYK,L,0.5,9,12,0.75,0.611,0.531,111,,
2018-19,Aaron Gordon,2/28/19,Home,GSW,W,0.6,2,2,1,0.693,0.667,93,,
2018-19,Aaron Gordon,3/2/19,Away,IND,W,0.333,0,0,,0.367,0.367,120,,
2018-19,Aaron Gordon,3/3/19,Away,CLE,L,0.438,0,0,,0.469,0.469,117,,
2018-19,Aaron Gordon,3/5/19,Away,PHI,L,0.5,4,6,0.667,0.581,0.556,118,,
2018-19,Aaron Gordon,3/8/19,Home,DAL,W,0.467,3,5,0.6,0.523,0.5,108,,
2018-19,Aaron Gordon,3/10/19,Away,MEM,L,0.294,2,2,1,0.364,0.324,114,,
2018-19,Aaron Gordon,3/13/19,Away,WAS,L,0.308,2,2,1,0.468,0.423,106,,
2018-19,Aaron Gordon,3/14/19,Home,CLE,W,0.438,4,4,1,0.591,0.531,92,,
2018-19,Aaron Gordon,3/17/19,Home,ATL,W,0.563,1,2,0.5,0.652,0.656,92,,
2018-19,Aaron Gordon,3/20/19,Home,NOP,W,0.467,2,2,1,0.63,0.6,92,,
2018-19,Aaron Gordon,3/22/19,Home,MEM,W,0.25,1,2,0.5,0.282,0.25,119,,
2018-19,Aaron Gordon,3/25/19,Home,PHI,W,0.417,0,0,,0.5,0.5,105,,
2018-19,Aaron Gordon,3/26/19,Away,MIA,W,0.353,1,2,0.5,0.391,0.382,103,,
2018-19,Aaron Gordon,3/28/19,Away,DET,L,0.583,5,5,1,0.704,0.625,125,,
2018-19,Aaron Gordon,3/30/19,Away,IND,W,0.6,1,1,1,0.745,0.733,117,,
2018-19,Aaron Gordon,4/1/19,Away,TOR,L,0.429,0,0,,0.429,0.429,119,,
2018-19,Aaron Gordon,4/3/19,Home,NYK,W,0.5,2,6,0.333,0.571,0.607,104,,
