Season,Team,Date,Home/Away,Opp,W/L,FG%,FT,FTA,FT%,DRtg,FTr,TS%,eFG%,FT/FGA
2019-20,LAL,7/30/20,Home,LAC,W,0.39,28,37,0.757,101.2,0.451,0.524,0.457,0.341
2019-20,MIL,7/31/20,Home,BOS,W,0.464,28,34,0.824,107.2,0.405,0.601,0.542,0.333
2019-20,LAL,8/1/20,Away,TOR,L,0.354,24,33,0.727,105.7,0.402,0.477,0.415,0.293
2019-20,IND,8/1/20,Home,PHI,W,0.505,17,23,0.739,118.5,0.242,0.604,0.579,0.179
2019-20,DEN,8/1/20,Home,MIA,L,0.438,19,24,0.792,126.7,0.27,0.527,0.483,0.213
2019-20,MIL,8/2/20,Away,HOU,L,0.489,17,23,0.739,113.8,0.25,0.568,0.538,0.185
2019-20,LAL,8/3/20,Away,UTA,W,0.5,25,31,0.806,103.1,0.378,0.606,0.555,0.305
2019-20,IND,8/3/20,Away,WAS,W,0.478,16,16,1,100.5,0.174,0.56,0.516,0.174
2019-20,DEN,8/3/20,Away,OKC,W,0.483,30,39,0.769,107.9,0.448,0.581,0.523,0.345
2019-20,IND,8/4/20,Home,ORL,W,0.548,15,19,0.789,112.9,0.226,0.65,0.625,0.179
2019-20,MIL,8/4/20,Home,BRK,L,0.477,15,23,0.652,110.7,0.261,0.591,0.574,0.17
2019-20,LAL,8/5/20,Home,OKC,L,0.352,19,29,0.655,104.1,0.33,0.427,0.381,0.216
2019-20,DEN,8/5/20,Away,SAS,W,0.549,18,21,0.857,128.3,0.231,0.658,0.626,0.198
2019-20,LAL,8/6/20,Away,HOU,L,0.455,25,36,0.694,107.8,0.468,0.522,0.468,0.325
2019-20,IND,8/6/20,Away,PHO,L,0.435,15,19,0.789,112.3,0.224,0.53,0.494,0.176
2019-20,MIL,8/6/20,Home,MIA,W,0.526,33,38,0.868,111.6,0.487,0.686,0.622,0.423
2019-20,DEN,8/6/20,Home,POR,L,0.524,13,17,0.765,132.8,0.202,0.629,0.607,0.155
2019-20,LAL,8/8/20,Away,IND,L,0.42,14,19,0.737,113,0.19,0.512,0.485,0.14
2019-20,IND,8/8/20,Home,LAL,W,0.524,13,14,0.929,108.2,0.167,0.643,0.613,0.155
2019-20,MIL,8/8/20,Away,DAL,L,0.475,23,34,0.676,116.7,0.343,0.579,0.551,0.232
2019-20,DEN,8/8/20,Home,UTA,W,0.472,23,30,0.767,112.5,0.278,0.553,0.514,0.213
2019-20,LAL,8/10/20,Home,DEN,W,0.543,22,32,0.688,136.3,0.395,0.652,0.63,0.272
2019-20,IND,8/10/20,Away,MIA,L,0.393,16,25,0.64,109.2,0.298,0.484,0.452,0.19
2019-20,MIL,8/10/20,Home,TOR,L,0.393,26,35,0.743,109.6,0.417,0.533,0.476,0.31
2019-20,DEN,8/10/20,Away,LAL,L,0.584,18,23,0.783,139.7,0.299,0.694,0.669,0.234
2019-20,MIL,8/11/20,Away,WAS,W,0.506,20,28,0.714,108.5,0.322,0.634,0.609,0.23
2019-20,IND,8/12/20,Away,HOU,W,0.4,17,22,0.773,95.1,0.22,0.492,0.455,0.17
2019-20,DEN,8/12/20,Home,LAC,L,0.494,12,19,0.632,129.5,0.218,0.582,0.569,0.138
2019-20,LAL,8/13/20,Home,SAC,L,0.49,11,15,0.733,130.1,0.153,0.583,0.566,0.112
2019-20,MIL,8/13/20,Away,MEM,L,0.398,15,23,0.652,108.5,0.235,0.49,0.464,0.153
2019-20,IND,8/14/20,Home,MIA,W,0.483,8,11,0.727,91.8,0.124,0.581,0.567,0.09
2019-20,DEN,8/14/20,Away,TOR,L,0.414,21,23,0.913,116.2,0.264,0.561,0.506,0.241
2019-20,DEN,8/17/20,Home,UTA,W,0.516,15,18,0.833,120.4,0.189,0.656,0.632,0.158
2019-20,LAL,8/18/20,Home,POR,L,0.351,20,31,0.645,98.9,0.32,0.42,0.376,0.206
2019-20,IND,8/18/20,Home,MIA,L,0.474,19,22,0.864,124.1,0.289,0.589,0.539,0.25
2019-20,MIL,8/18/20,Home,ORL,L,0.433,18,28,0.643,114.5,0.311,0.538,0.511,0.2
2019-20,DEN,8/19/20,Home,UTA,L,0.457,18,23,0.783,144.8,0.284,0.576,0.537,0.222
2019-20,LAL,8/20/20,Home,POR,W,0.478,9,10,0.9,92.4,0.109,0.576,0.554,0.098
2019-20,IND,8/20/20,Home,MIA,L,0.444,16,20,0.8,111.3,0.247,0.557,0.519,0.198
2019-20,MIL,8/20/20,Home,ORL,W,0.472,12,16,0.75,94.2,0.18,0.578,0.556,0.135
2019-20,DEN,8/21/20,Away,UTA,L,0.375,9,11,0.818,135.9,0.125,0.469,0.443,0.102
2019-20,LAL,8/22/20,Away,POR,W,0.5,28,43,0.651,105,0.551,0.598,0.564,0.359
2019-20,IND,8/22/20,Away,MIA,L,0.488,21,28,0.75,120.6,0.333,0.597,0.56,0.25
2019-20,MIL,8/22/20,Away,ORL,W,0.561,12,17,0.706,104.7,0.207,0.676,0.665,0.146
2019-20,DEN,8/23/20,Away,UTA,L,0.49,12,13,0.923,141.4,0.13,0.601,0.575,0.12
2019-20,LAL,8/24/20,Away,POR,W,0.563,20,30,0.667,115.7,0.345,0.674,0.661,0.23
