Season,Team,Date,Home/Away,Opp,W/L,FG%,FT,FTA,FT%,DRtg,FTr,TS%,eFG%,FT/FGA
2018-19,GSW,10/16/18,Home,OKC,W,0.442,17,18,0.944,97.7,0.189,0.525,0.479,0.179
2018-19,SAS,10/17/18,Home,MIN,W,0.43,21,29,0.724,112.7,0.312,0.53,0.489,0.226
2018-19,MIL,10/17/18,Away,CHO,W,0.494,15,20,0.75,109.2,0.235,0.602,0.576,0.176
2018-19,IND,10/17/18,Home,MEM,W,0.566,7,13,0.538,88.8,0.157,0.626,0.627,0.084
2018-19,GSW,10/19/18,Away,UTA,W,0.563,16,18,0.889,119.4,0.207,0.653,0.621,0.184
2018-19,MIL,10/19/18,Home,IND,W,0.473,13,21,0.619,96.2,0.226,0.577,0.565,0.14
2018-19,IND,10/19/18,Away,MIL,L,0.437,19,27,0.704,112.4,0.31,0.511,0.471,0.218
2018-19,SAS,10/20/18,Away,POR,L,0.42,11,14,0.786,129.1,0.14,0.509,0.485,0.11
2018-19,IND,10/20/18,Home,BRK,W,0.554,14,22,0.636,109.9,0.239,0.649,0.641,0.152
2018-19,GSW,10/21/18,Away,DEN,L,0.456,19,24,0.792,102.4,0.304,0.547,0.5,0.241
2018-19,GSW,10/22/18,Home,PHO,W,0.511,19,26,0.731,100.4,0.295,0.618,0.591,0.216
2018-19,SAS,10/22/18,Away,LAL,W,0.515,28,38,0.737,124.1,0.392,0.629,0.593,0.289
2018-19,MIL,10/22/18,Home,NYK,W,0.469,17,24,0.708,112,0.25,0.582,0.557,0.177
2018-19,IND,10/22/18,Away,MIN,L,0.391,11,16,0.688,101.7,0.174,0.459,0.435,0.12
2018-19,GSW,10/24/18,Home,WAS,W,0.576,23,25,0.92,114.3,0.272,0.699,0.658,0.25
2018-19,SAS,10/24/18,Home,IND,L,0.402,20,21,0.952,124.9,0.241,0.499,0.437,0.23
2018-19,MIL,10/24/18,Home,PHI,W,0.41,28,30,0.933,97,0.3,0.543,0.475,0.28
2018-19,IND,10/24/18,Away,SAS,W,0.529,7,8,0.875,103.3,0.092,0.641,0.626,0.08
2018-19,GSW,10/26/18,Away,NYK,W,0.586,10,12,0.833,100.3,0.138,0.694,0.678,0.115
2018-19,MIL,10/26/18,Away,MIN,W,0.533,8,11,0.727,89.6,0.12,0.645,0.636,0.087
2018-19,SAS,10/27/18,Home,LAL,W,0.484,19,24,0.792,104.3,0.264,0.542,0.5,0.209
2018-19,MIL,10/27/18,Home,ORL,W,0.5,21,23,0.913,86.3,0.28,0.613,0.561,0.256
2018-19,IND,10/27/18,Away,CLE,W,0.649,18,26,0.692,116.8,0.351,0.696,0.682,0.243
2018-19,GSW,10/28/18,Away,BRK,W,0.494,21,24,0.875,114.3,0.27,0.603,0.556,0.236
2018-19,GSW,10/29/18,Away,CHI,W,0.552,19,26,0.731,118.6,0.271,0.693,0.677,0.198
2018-19,SAS,10/29/18,Home,DAL,W,0.462,20,21,0.952,97.7,0.231,0.564,0.511,0.22
2018-19,MIL,10/29/18,Home,TOR,W,0.489,15,19,0.789,101.1,0.207,0.618,0.592,0.163
2018-19,IND,10/29/18,Home,POR,L,0.411,13,20,0.65,108.1,0.222,0.471,0.444,0.144
2018-19,GSW,10/31/18,Home,NOP,W,0.528,21,30,0.7,115.5,0.337,0.641,0.618,0.236
2018-19,SAS,10/31/18,Away,PHO,W,0.554,24,26,0.923,88.2,0.313,0.635,0.578,0.289
2018-19,IND,10/31/18,Away,NYK,W,0.542,11,17,0.647,107.3,0.205,0.591,0.578,0.133
2018-19,MIL,11/1/18,Away,BOS,L,0.482,22,30,0.733,116.1,0.353,0.575,0.535,0.259
2018-19,GSW,11/2/18,Home,MIN,W,0.489,17,22,0.773,98.3,0.25,0.594,0.563,0.193
2018-19,IND,11/2/18,Away,CHI,W,0.471,20,22,0.909,111.5,0.259,0.565,0.512,0.235
2018-19,SAS,11/3/18,Home,NOP,W,0.469,11,14,0.786,94.8,0.146,0.533,0.51,0.115
2018-19,IND,11/3/18,Home,BOS,W,0.419,19,25,0.76,104.5,0.291,0.526,0.483,0.221
2018-19,SAS,11/4/18,Home,ORL,L,0.432,22,25,0.88,122.9,0.284,0.556,0.5,0.25
2018-19,MIL,11/4/18,Home,SAC,W,0.484,30,33,0.909,99.5,0.347,0.657,0.6,0.316
